GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G0201800","Alaska","02","020","Nome Census Area","180","1800",5749,6537,8288,9196,9492,10046,1209,1741,2371,2693,2815
"G0201850","Alaska","02","020","North Slope Borough","185","1850",,4199,5979,7385,9430,11031,,980,1673,2109,2029
"G0201880","Alaska","02","020","Northwest Arctic Borough","188","1880",,,6113,7208,7523,7793,,,1526,1780,1919
"G0201900","Alaska","02","020","Outer Ketchikan","190","1900",1676,,,,,,391,,,,
"G0201950","Alaska","02","020","Petersburg Borough","195","1950",,,,,3815,3398,,,,,1599
"G0202000","Alaska","02","020","Prince Of Wales","200","2000",2106,,,,,,560,,,,
"G0201980","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980",,,,,5559,5753,,,,,2194
"G0202010","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010",,3822,6278,6146,,,,1121,2061,2262,
"G0202100","Alaska","02","020","Seward","210","2100",2336,,,,,,722,,,,
"G0202200","Alaska","02","020","Sitka City and Borough","220","2200",6109,7803,8588,8835,8881,8458,1767,2440,2939,3278,3545
"G0202300","Alaska","02","020","Skagway Municipality","230","2300",2157,,,,968,1240,607,,,,436
"G0202320","Alaska","02","020","Skagway-Hoonah-Angoon","232","2320",,,,3436,,,,,,1369,
"G0202310","Alaska","02","020","Skagway-Yakutat-Angoon","231","2310",,3478,4385,,,,,1087,1422,,
"G0202400","Alaska","02","020","Southeast Fairbanks Census Area","240","2400",4179,5676,5913,6174,7029,6808,1027,1666,1909,2098,2567
"G0202500","Alaska","02","020","Upper Yukon","250","2500",1684,,,,,,338,,,,
"G0202600","Alaska","02","020","Valdez-Chitina-Whittier","260","2600",3098,,,,,,921,,,,
"G0202610","Alaska","02","020","Valdez-Cordova Census Area","261","2610",,8348,9952,10195,9636,,,2689,3425,3884,3966
"G0202700","Alaska","02","020","Wade Hampton Census Area","270","2700",3917,4665,5791,7028,7459,,643,947,1368,1602,1745
"G0202750","Alaska","02","020","Wrangell City and Borough","275","2750",,,,,2369,2127,,,,,1053
"G0202800","Alaska","02","020","Wrangell-Petersburg","280","2800",4913,6167,7042,6684,,,1473,2072,2514,2587,
"G0202820","Alaska","02","020","Yakutat City and Borough","282","2820",,,,808,662,662,,,,265,270
"G0202900","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900",4752,7873,8478,6551,5588,5343,1015,2280,2748,2309,2217
"G0400010","Arizona","04","040","Apache County","001","0010",32298,52108,61591,69423,71518,66021,6832,12638,15981,19971,22771
"G0400030","Arizona","04","040","Cochise County","003","0030",61910,85686,97624,117755,131346,125447,17878,28977,34546,43893,50865
"G0400050","Arizona","04","040","Coconino County","005","0050",48326,75008,96591,116320,134421,145101,12474,21890,29918,40448,46711
"G0400070","Arizona","04","040","Gila County","007","0070",29255,37080,40216,51335,53597,53272,8806,12847,15438,20140,22000
"G0400090","Arizona","04","040","Graham County","009","0090",16578,22862,26554,33489,37220,38533,4325,6587,7930,10116,11120
"G0400110","Arizona","04","040","Greenlee County","011","0110",10330,11406,8008,8547,8437,9563,3022,3607,2809,3117,3188
"G0400120","Arizona","04","040","La Paz County","012","0120",,,13844,19715,20489,16557,,,5348,8362,9198
"G0400130","Arizona","04","040","Maricopa County","013","0130",967522,1509052,2122101,3072149,3817117,4420568,302633,544759,807560,1132886,1411583
"G0400150","Arizona","04","040","Mohave County","015","0150",25857,55865,93497,155032,200186,213267,8626,21110,36801,62809,82539
"G0400170","Arizona","04","040","Navajo County","017","0170",47715,67629,77658,97470,107449,106717,11278,18301,22189,30043,35658
