GEO_ID,Geographic Area Name,Count Total population,Count Total housing units,Count Occupied housing units,Count Vacant housing units,Count Owner-occupied housing units,Percent Total housing units,Percent Occupied housing units,Percent Vacant housing units,Percent!!HOUSING TENURE!!Occupied housing units,Percen Owner-occupied housing units among Occupied housing units,Percent Renter-occupied housing units among Occupied housing units
US50025,"Windham County, Vermont",45905,29916,20388,9528,13982,100,68.2,31.8,100,68.6,31.4
US50027,"Windsor County, Vermont",57753,34625,25859,8766,18609,100,74.7,25.3,100,72,28
US51001,"Accomack County, Virginia",33413,21703,14302,7401,10079,100,65.9,34.1,100,70.5,29.5
US51003,"Albemarle County, Virginia",112395,47291,43468,3823,28115,100,91.9,8.1,100,64.7,35.3
US51005,"Alleghany County, Virginia",15223,7934,6699,1235,5180,100,84.4,15.6,100,77.3,22.7
US51007,"Amelia County, Virginia",13265,5704,5206,498,4258,100,91.3,8.7,100,81.8,18.2
US51009,"Amherst County, Virginia",31307,14232,12746,1486,9635,100,89.6,10.4,100,75.6,24.4
US51011,"Appomattox County, Virginia",16119,7301,6470,831,5052,100,88.6,11.4,100,78.1,21.9
US51013,"Arlington County, Virginia",238643,119085,109912,9173,42554,100,92.3,7.7,100,38.7,61.3
US51015,"Augusta County, Virginia",77487,32590,30233,2357,23760,100,92.8,7.2,100,78.6,21.4
US51017,"Bath County, Virginia",4209,3239,1891,1348,1448,100,58.4,41.6,100,76.6,23.4
