GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0400030,US04003,Arizona,Cochise County,61910,85686,97624,117755,131346,125447,17878,28977,34546,43893,50865,50936
G0400050,US04005,Arizona,Coconino County,48326,75008,96591,116320,134421,145101,12474,21890,29918,40448,46711,51320
G0400070,US04007,Arizona,Gila County,29255,37080,40216,51335,53597,53272,8806,12847,15438,20140,22000,22312
G0400090,US04009,Arizona,Graham County,16578,22862,26554,33489,37220,38533,4325,6587,7930,10116,11120,12150
G0400110,US04011,Arizona,Greenlee County,10330,11406,8008,8547,8437,9563,3022,3607,2809,3117,3188,3634
G0400120,US04012,Arizona,La Paz County,,,13844,19715,20489,16557,,,5348,8362,9198,7370
G0400130,US04013,Arizona,Maricopa County,967522,1509052,2122101,3072149,3817117,4420568,302633,544759,807560,1132886,1411583,1643579
G0400150,US04015,Arizona,Mohave County,25857,55865,93497,155032,200186,213267,8626,21110,36801,62809,82539,91270
G0400170,US04017,Arizona,Navajo County,47715,67629,77658,97470,107449,106717,11278,18301,22189,30043,35658,36836
G0400190,US04019,Arizona,Pima County,351667,531443,666880,843746,980263,1043433,110785,195459,261792,332350,388660,427021
G0400210,US04021,Arizona,Pinal County,67916,90918,116379,179727,375770,425264,18096,28411,39154,61364,125590,146663
G0400230,US04023,Arizona,Santa Cruz County,13966,20459,29676,38381,47420,47669,3817,5999,8808,11809,15437,16670
G0400250,US04025,Arizona,Yavapai County,36733,68145,107714,167517,211033,236209,12999,26599,44778,70171,90903,104425
G0400270,US04027,Arizona,Yuma County,60827,90554,106895,160026,195751,203881,17586,29848,35791,53848,64767,69589
G0500010,US05001,Arkansas,Arkansas County,23347,24175,21653,20749,19019,17149,7500,8909,8389,8457,8005,7293
G0500030,US05003,Arkansas,Ashley County,24976,26538,24319,24209,21853,19062,7535,9061,8890,9384,8765,8019
G0500050,US05005,Arkansas,Baxter County,15319,27409,31186,38386,41513,41627,5800,11181,13486,17052,18748,18936
G0500070,US05007,Arkansas,Benton County,50476,78115,97499,153406,221339,284333,16916,28622,37555,58212,82087,104111
G0500090,US05009,Arkansas,Boone County,19073,26067,28297,33948,36903,37373,6654,9781,11131,13851,15120,15455
G0500110,US05011,Arkansas,Bradley County,12778,13803,11793,12600,11508,10545,4229,5040,4545,4834,4673,4277
G0500130,US05013,Arkansas,Calhoun County,5573,6079,5826,5744,5368,4739,1769,2121,2185,2317,2262,2019
G0500150,US05015,Arkansas,Carroll County,12301,16203,18654,25357,27446,28260,4565,6431,7550,10189,11393,11727
G0500170,US05017,Arkansas,Chicot County,18164,17793,15713,14117,11800,10208,5477,5993,5557,5205,4579,4142
G0500190,US05019,Arkansas,Clark County,21537,23326,21437,23546,22995,21446,6608,8134,7907,8912,8783,8170
G0500210,US05021,Arkansas,Clay County,18771,20616,18107,17609,16083,14552,6511,7911,7504,7417,6845,6176
G0500230,US05023,Arkansas,Cleburne County,10349,16909,19411,24046,25970,24711,3617,6405,7926,10190,11078,10819
